id,name,ip,port,lan_ip,payback_port,status,status_desc,open_time
ID,名称,地址,端口,内网ip,支付web服务端口,状态,状态描述,"开服时间(%y%m%d%H%M%S),年份用四位表示"
number,string,string,number,string,number,number,string,string
1,本机,127.0.0.1,8888,127.0.0.1,9528,1,流畅,2015/11/11 12:00
2,zeno,192.168.0.219,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
3,zafair,192.168.0.99,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
4,mark,192.168.0.213,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
5,测试服,218.17.160.149,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
6,ding,192.168.0.207,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
7,orma,192.168.1.208,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
8,xino,192.168.0.218,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
9,tony,192.168.0.210,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
10,jeal,192.168.0.217,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
11,wind,192.168.0.243,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
12,wally,192.168.1.20,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
13,nicke,192.168.0.222,8888,127.0.0.1,9528,1,流畅,2015/11/12 12:00
